mh_level,scope_id,dataset_name,dataset_granularity,scope_kind,scope_market,detector_combination,test_case_name,anomaly_case,precision,recall,f1,true_negative_rate,false_positive_rate,false_negative_rate,g_mean,tp,fp,fn,tn,positive_count,negative_count,predicted_positive_count
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,extreme_outlier,0.059836544074722706,0.7205623901581723,0.12351633072211418,0.8633953942067094,0.13660460579329065,0.27943760984182775,0.8403830855471377,410.0,6442.0,159.0,40716.0,569.0,47158.0,6852.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,negative_price,0.05342237061769616,0.7314285714285714,0.11596975597003116,0.8414263240692187,0.15857367593078134,0.26857142857142857,0.8533197851866235,256.0,4536.0,94.0,24069.0,350.0,28605.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,negative_price,0.04488330341113106,0.7662835249042146,0.11526915658425392,0.7987611707409333,0.2012388292590666,0.23371647509578544,0.855143585904207,200.0,4256.0,61.0,16893.0,261.0,21149.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,negative_price,0.04442581726739313,0.828125,0.10621858740842602,0.7908128937549698,0.20918710624503029,0.171875,0.8657337326102463,159.0,3420.0,33.0,12929.0,192.0,16349.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,negative_price,0.036159222120935884,0.7727272727272727,0.0876494009337901,0.7575479630054269,0.2424520369945731,0.22727272727272727,0.8374245682553195,119.0,3172.0,35.0,9911.0,154.0,13083.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,negative_price,0.038975926633549866,0.8571428571428571,0.08798542920494139,0.7384567387687188,0.2615432612312812,0.14285714285714285,0.8519041376187586,102.0,2515.0,17.0,7101.0,119.0,9616.0,2617.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,negative_price,0.06275539988324577,0.7325383304940375,0.12702214714273177,0.8637675010606704,0.13623249893932965,0.2674616695059625,0.8448135829072569,430.0,6422.0,157.0,40718.0,587.0,47140.0,6852.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_drop,0.052170283806343906,0.6493506493506493,0.11313671863658797,0.8410220511025551,0.15897794889744488,0.35064935064935066,0.7965123429852696,250.0,4542.0,135.0,24028.0,385.0,28570.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_drop,0.03972172351885099,0.6755725190839694,0.08892506294749473,0.7976640817098544,0.20233591829014563,0.3244274809160305,0.7915792576625336,177.0,4279.0,85.0,16869.0,262.0,21148.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_drop,0.03967588711930707,0.7064676616915423,0.08783431524973119,0.7896572827417381,0.21034271725826192,0.2935323383084577,0.8063663078035846,142.0,3437.0,59.0,12903.0,201.0,16340.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_drop,0.037070799149194776,0.7530864197530864,0.08373393160762314,0.7576290630975143,0.24237093690248565,0.24691358024691357,0.8138212210419683,122.0,3169.0,40.0,9906.0,162.0,13075.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_drop,0.03668322506687046,0.75,0.09700513188615834,0.7375871760174872,0.26241282398251276,0.25,0.8107885610738029,96.0,2521.0,32.0,7086.0,128.0,9607.0,2617.0
mh5,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_drop,0.053269118505545825,0.6043046357615894,0.10512068448643261,0.8623389852089214,0.13766101479107867,0.3956953642384106,0.7542505621652311,365.0,6487.0,239.0,40636.0,604.0,47123.0,6852.0
mh10,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_noise,0.016068447412353925,0.228486646884273,0.028864037876490552,0.835243553008596,0.16475644699140402,0.771513353115727,0.40948227497862666,77.0,4715.0,260.0,23903.0,337.0,28618.0,4792.0
mh15,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_noise,0.018177737881508078,0.3253012048192771,0.034843502111461096,0.7932517366854118,0.20674826331458815,0.6746987951807228,0.485587658889129,81.0,4375.0,168.0,16786.0,249.0,21161.0,4456.0
mh20,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_noise,0.018161497625034925,0.3282828282828283,0.03507913942486102,0.7849843969895368,0.21501560301046319,0.6717171717171717,0.5141337971854307,65.0,3514.0,133.0,12829.0,198.0,16343.0,3579.0
mh25,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_noise,0.016408386508659983,0.3253012048192771,0.033705844104546086,0.7523525361487262,0.2476474638512738,0.6746987951807228,0.5190982809353596,54.0,3237.0,112.0,9834.0,166.0,13071.0,3291.0
mh30,COMPETITOR_1_COUNTRY_1,COMPETITOR_1_COUNTRY_1,competitor,competitor,B2B,Z-score,combined,price_noise,0.01834161253343523,0.4444444444444444,0.03322411533420708,0.7331463591980887,0.2668536408019113,0.5555555555555556,0.5667448968640572,48.0,2569.0,60.0,7058.0,108.0,9627.0,2617.0
